src,dst,kind
article-48.2,article-48.3,HAS_SUBUNIT
article-48.3,article-48.4,HAS_SUBUNIT
article-48.4,article-48.5,HAS_SUBUNIT
article-49,article-49.1,HAS_SUBUNIT
article-49.1,article-49.2,HAS_SUBUNIT
article-49.2,article-49.3,HAS_SUBUNIT
article-49.3,article-49.4,HAS_SUBUNIT
article-49.4,article-49.4.a,HAS_SUBUNIT
article-49.4.a,article-49.4.a.b,HAS_SUBUNIT
article-49.4.a.b,article-49.4.a.b.c,HAS_SUBUNIT
article-49.4.a.b.c,article-49.4.a.b.c.d,HAS_SUBUNIT
article-49.4.a.b.c.d,article-49.5,HAS_SUBUNIT
article-5,article-5.1,HAS_SUBUNIT
article-5.1,article-5.1.a,HAS_SUBUNIT
article-5.1.a,article-5.1.a.b,HAS_SUBUNIT
article-5.1.a.b,article-5.1.a.b.ba,HAS_SUBUNIT
